key,commonName,scientificName,fact1,fact2,fact3,imageUrl,hashtags,careLevel,aggression
threadfinRainbowfish,"Threadfin Rainbowfish","Iriatherina werneri","Thrives in 72-86°F water with pH 5-8","Needs 15+ gallon tank. School of 6+","A slender rainbowfish reaching 2 inches with males developing elongated threadlike dorsal and anal fin extensions",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FthreadfinRainbowfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #threadfinrainbowfish #peacefulfish #schoolingfish",Moderate,Peaceful
exclamationPointRasbora,"Exclamation Point Rasbora","Boraras urophthalmoides","Thrives in 68-81°F water with pH 6-7","Needs 10+ gallon tank. School of 8-12+","A tiny nano fish reaching only 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FexclamationPointRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #exclamationpointrasb #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
microrasbora,"Green Kubotai Rasbora","Microdevario kubotai","Thrives in 68-81°F water with pH 6-7","Needs 10+ gallon tank. School of 10+","A tiny, stunning nano fish reaching only 1 inch with dark blue body covered in pearl-white spots and brilliant orange...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fmicrorasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #greenkubotairasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
balloonMolly,"Balloon Molly","Poecilia sphenops (balloon morph)","Thrives in 70-82°F water with pH 7-8.5","Needs 20+ gallon tank. Group of 3+","A selectively-bred livebearer characterized by its distinctive rounded, balloon-like body resulting from scoliosis",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FballoonMolly.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #balloonmolly #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
variatusPlaty,"Variatus Platy","Xiphophorus variatus","Thrives in 68-79°F water with pH 7-8.2","Needs 10+ gallon tank. Group of 4+","A hardy livebearer reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FvariatusPlaty.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #variatusplaty #peacefulfish #beginnerfish",Easy,Peaceful
blackMolly,"Black Molly","Poecilia sphenops (melanistic)","Thrives in 70-82°F water with pH 7-8.5","Needs 30+ gallon tank. Group of 4+","A jet-black color variant of Poecilia sphenops, reaching 3-4 inches and developed through selective breeding",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblackMolly.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blackmolly #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
leastKillifish,"Least Killifish","Heterandria formosa","Thrives in 68-78°F water with pH 7-8","Needs 5+ gallon tank. Colony of 5+","A tiny livebearer reaching only 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FleastKillifish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #leastkillifish #peacefulfish #beginnerfish",Easy,Peaceful
threeSpotGourami,"Three Spot Gourami","Trichopodus trichopterus","Thrives in 75-86°F water with pH 5.5-8.5","Needs 35+ gallon tank. Single or pair","A large labyrinth fish reaching 5-6 inches with blue-gray body and two distinct spots (third spot is the eye)",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FthreeSpotGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #threespotgourami #beginnerfish #asianfish",Easy,Semi-aggressive
chocolateGourami,"Chocolate Gourami","Sphaerichthys osphromenoides","Thrives in 79-88°F water with pH 4-6.5","Needs 15+ gallon tank. Group of 6+","A delicate labyrinth fish reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FchocolateGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #chocolategourami #peacefulfish #asianfish",Difficult,Peaceful
paradiseFish,"Paradise Fish","Macropodus opercularis","Thrives in 61-79°F water with pH 5.8-8","Needs 20+ gallon tank. Single male only","A colorful, hardy labyrinth fish reaching 4 inches with striking blue and red vertical stripes",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FparadiseFish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #paradisefish #beginnerfish #asianfish",Easy,Aggressive
bettaImbellis,"Peaceful Betta","Betta imbellis","Thrives in 68-82°F water with pH 5-7.5","Needs 10+ gallon tank. Pairs or small groups","A peaceful wild betta reaching 2 inches with iridescent green-blue body and red-orange fins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbettaImbellis.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #peacefulbetta #peacefulfish #asianfish",Moderate,Peaceful
kribensis,"Kribensis","Pelvicachromis pulcher","Thrives in 75-81°F water with pH 5-7.5","Needs 20+ gallon tank. Pairs","A colorful dwarf cichlid reaching 4 inches with purple-pink belly and distinctive red-cherry belly in females",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fkribensis.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #kribensis #peacefulfish #beginnerfish #africanfish",Easy,Peaceful
bolivianRam,"Bolivian Ram","Mikrogeophagus altispinosus","Thrives in 75-82°F water with pH 6-7.5","Needs 20+ gallon tank. Pairs/Groups","A peaceful dwarf cichlid reaching 3 inches with golden-yellow body, red-orange fins, and black lateral spot",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbolivianRam.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bolivianram #peacefulfish #southamericanfish",Moderate,Peaceful
cockatooDwarfCichlid,"Cockatoo Dwarf Cichlid","Apistogramma cacatuoides","Thrives in 75-84°F water with pH 6-7","Needs 20+ gallon tank. Pairs/Harem","A distinctive dwarf cichlid reaching 3 inches with elongated dorsal fin rays resembling a cockatoo's crest",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcockatooDwarfCichlid.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #cockatoodwarfcichlid #southamericanfish",Moderate,Semi-aggressive
electricBlueAcara,"Electric Blue Acara","Andinoacara pulcher","Thrives in 72-82°F water with pH 6-7.5","Needs 30+ gallon tank. Pairs","A medium-sized peaceful cichlid reaching 6 inches with stunning electric blue coloration and subtle vertical bars",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FelectricBlueAcara.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #electricblueacara #southamericanfish",Moderate,Semi-aggressive
firemouthCichlid,"Firemouth Cichlid","Thorichthys meeki","Thrives in 76-82°F water with pH 6.5-8","Needs 30+ gallon tank. Pairs/Groups","A medium-sized Central American cichlid reaching 6 inches with gray-blue body and brilliant orange-red throat and belly",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FfiremouthCichlid.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #firemouthcichlid #beginnerfish",Easy,Semi-aggressive
convictCichlid,"Convict Cichlid","Amatitlania nigrofasciata","Thrives in 75-82°F water with pH 6-8","Needs 20+ gallon tank. Pairs","A small, hardy cichlid reaching 4-5 inches with bold black and white vertical stripes",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FconvictCichlid.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #convictcichlid",Very Easy,Aggressive
africanButterflyCichlid,"African Butterfly Cichlid","Anomalochromis thomasi","Thrives in 73-82°F water with pH 6-7.5","Needs 20+ gallon tank. Groups","A peaceful dwarf cichlid reaching 3 inches with yellow body, black lateral stripe, and lyretail fin extensions in males",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FafricanButterflyCichlid.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #africanbutterflycich #peacefulfish #beginnerfish #africanfish",Easy,Peaceful
discus,"Discus","Symphysodon aequifasciatus","Thrives in 82-86°F water with pH 6-7.5","Needs 55+ gallon tank. Group of 5+","A large, disc-shaped cichlid reaching 8-10 inches with stunning color varieties and intricate patterns",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fdiscus.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #discus #peacefulfish #southamericanfish",Difficult,Peaceful
yoyoLoach,"Yoyo Loach","Botia almorhae","Thrives in 66-82°F water with pH 6-7.5","Needs 40+ gallon tank. School of 5-6+","A medium-sized, active loach reaching 5-6 inches with intricate dark ""Y-O-Y-O"" pattern markings on silver-gray body",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FyoyoLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #yoyoloach #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
dwarfChainLoach,"Dwarf Chain Loach","Ambastaia sidthimunki","Thrives in 68-77°F water with pH 6-7.5","Needs 30+ gallon tank. School of 6+","A tiny loach reaching only 2 inches with chain-like pattern of connected dark markings along body",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdwarfChainLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #dwarfchainloach #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
zebraLoach,"Zebra Loach","Botia striata","Thrives in 70-79°F water with pH 6-7.5","Needs 30+ gallon tank. School of 5-6+","A small, attractive loach reaching 4 inches with bold vertical black and white zebra-like banding",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FzebraLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #zebraloach #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
clownLoach,"Clown Loach","Chromobotia macracanthus","Thrives in 75-86°F water with pH 5-7","Needs 125+ gallon tank. School of 5-6+","A large, social bottom-dweller reaching 12+ inches with bright orange body and three bold black vertical bands",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FclownLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #clownloach #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
hillstreamLoach,"Hillstream Loach","Sewellia lineolata","Thrives in 65-75°F water with pH 6-7.5","Needs 20+ gallon tank. School of 4-6+","A flat, uniquely-shaped loach reaching 3 inches with sucker-like pectoral and pelvic fins for clinging to rocks",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FhillstreamLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #hillstreamloach #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
pepperedCory,"Peppered Cory","Corydoras paleatus","Thrives in 60-78°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6+","A classic, hardy catfish reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpepperedCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #pepperedcory #peacefulfish #schoolingfish #southamericanfish",Very Easy,Peaceful
sterbaiCory,"Sterbai Cory","Corydoras sterbai","Thrives in 73-82°F water with pH 6-7.6","Needs 20+ gallon tank. School of 6+","A popular catfish reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsterbaiCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #sterbaicory #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
juliiCory,"Julii Cory","Corydoras julii","Thrives in 73-79°F water with pH 6-7.8","Needs 20+ gallon tank. School of 6+","A small, attractive catfish reaching 2 inches with intricate spotted pattern and black stripe through eye",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FjuliiCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #juliicory #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
albinoCory,"Albino Cory","Corydoras aeneus (albino)","Thrives in 72-80°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6+","A color variant of bronze corydoras reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FalbinoCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #albinocory #peacefulfish #schoolingfish #southamericanfish",Very Easy,Peaceful
saltAndPepperCory,"Salt and Pepper Cory","Corydoras habrosus","Thrives in 70-80°F water with pH 6-8","Needs 10+ gallon tank. School of 8-10+","A tiny catfish reaching only 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsaltAndPepperCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #saltandpeppercory #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
chineseAlgaeEater,"Chinese Algae Eater","Gyrinocheilus aymonieri","Thrives in 72-82°F water with pH 6-8","Needs 55+ gallon tank. Solitary","An elongated bottom-dweller reaching 10-11 inches with sucker mouth and golden-brown body with dark stripe when young",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FchineseAlgaeEater.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #chinesealgaeeater #asianfish",Moderate,Semi-aggressive
stripedRaphaelCatfish,"Striped Raphael Catfish","Platydoras armatulus","Thrives in 75-82°F water with pH 5.5-7.5","Needs 30+ gallon tank. Solitary or groups","A robust, nocturnal catfish reaching 8 inches with distinctive white stripes on dark body and strong defensive pector...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FstripedRaphaelCatfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #stripedraphaelcatfis #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
glassCatfish,"Glass Catfish","Kryptopterus vitreolus","Thrives in 75-80°F water with pH 6-7.5","Needs 30+ gallon tank. School of 6+","A transparent, ghostly catfish reaching 4-5 inches where internal organs and skeleton are clearly visible through tra...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FglassCatfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #glasscatfish #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
upsideDownCatfish,"Upside-Down Catfish","Synodontis nigriventris","Thrives in 72-82°F water with pH 6-7.5","Needs 30+ gallon tank. Group of 3-5+","A unique small catfish reaching 4 inches that habitually swims inverted with belly facing upward",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FupsideDownCatfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #upsidedowncatfish #peacefulfish #beginnerfish #africanfish",Easy,Peaceful
commonPleco,"Common Pleco","Hypostomus plecostomus","Thrives in 72-86°F water with pH 6.5-7.8","Needs 75+ gallon tank. Solitary","A large, armored catfish reaching 12-24 inches with mottled brown pattern and powerful sucker mouth",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcommonPleco.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #commonpleco #southamericanfish",Moderate,Semi-aggressive
rubberLipPleco,"Rubber Lip Pleco","Chaetostoma milesi","Thrives in 72-78°F water with pH 6.5-8","Needs 25+ gallon tank. Solitary","A medium-sized algae-eating pleco reaching 7 inches with mottled brown pattern and distinctive rubber-lipped sucker m...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FrubberLipPleco.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #rubberlippleco #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
bambooShrimp,"Bamboo Shrimp","Atyopsis moluccensis","Thrives in 70-78°F water with pH 6.5-7.8","Needs 20+ gallon tank. Solitary or groups","A large freshwater shrimp (2-3 inches) distinguished by its unique filter-feeding behavior using specialized fan-like...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbambooShrimp.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bambooshrimp #peacefulfish #asianfish",Moderate,Peaceful
singaporeShrimp,"Singapore Shrimp","Macrobrachium lanchesteri","Thrives in 70-82°F water with pH 6.5-7.5","Needs 15+ gallon tank. Colony of 5+","A large filter-feeding shrimp reaching 3 inches with fan-like appendages for capturing food from water current",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsingaporeShrimp.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #singaporeshrimp #asianfish",Moderate,Semi-aggressive
ramshornSnail,"Ramshorn Snail","Planorbidae family","Thrives in 60-80°F water with pH 7-8","Needs 5+ gallon tank. Solitary or colony","A common freshwater snail with distinctive spiral shell resembling a ram's horn, reaching 1 inch in various colors in...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FramshornSnail.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #ramshornsnail #peacefulfish #asianfish",Very Easy,Peaceful
africanDwarfFrog,"African Dwarf Frog","Hymenochirus boettgeri","Thrives in 72-82°F water with pH 6.5-7.8","Needs 10+ gallon tank. Colony of 2+","A fully aquatic frog reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FafricanDwarfFrog.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #africandwarffrog #peacefulfish #beginnerfish #africanfish",Easy,Peaceful
emperorTetra,"Emperor Tetra","Nematobrycon palmeri","Thrives in 73-81°F water with pH 5-7.8","Needs 20+ gallon tank. School of 6+","A regal tetra reaching 2 inches with purple-gray body, yellow stripe, and impressive finnage with males developing fl...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FemperorTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #emperortetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
flameTetra,"Flame Tetra","Hyphessobrycon flammeus","Thrives in 72-82°F water with pH 5.5-7.5","Needs 15+ gallon tank. School of 6+","A small, fiery tetra reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FflameTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #flametetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
blackPhantomTetra,"Black Phantom Tetra","Hyphessobrycon megalopterus","Thrives in 72-82°F water with pH 6-7.5","Needs 15+ gallon tank. School of 6+","A peaceful tetra reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblackPhantomTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blackphantomtetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
redPhantomTetra,"Red Phantom Tetra","Hyphessobrycon sweglesi","Thrives in 72-82°F water with pH 5-6.5","Needs 20+ gallon tank. School of 6+","A peaceful tetra reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FredPhantomTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #redphantomtetra #peacefulfish #schoolingfish #southamericanfish",Moderate,Peaceful
blackRubyBarb,"Black Ruby Barb","Pethia nigrofasciata","Thrives in 72-79°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6+","A stunning barb reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblackRubyBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blackrubybarb #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
tictoBarb,"Ticto Barb","Pethia ticto","Thrives in 72-77°F water with pH 6-8","Needs 20+ gallon tank. School of 6+","A peaceful barb reaching 4 inches with silver-gold body and two distinctive black spots (one mid-body, one near tail)",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FtictoBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #tictobarb #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
checkerBarb,"Checker Barb","Oliotius oligolepis","Thrives in 68-75°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6+","A peaceful barb reaching 2 inches with distinctive checkerboard pattern of dark squares on golden body",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcheckerBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #checkerbarb #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
scissortailRasbora,"Scissortail Rasbora","Rasbora trilineata","Thrives in 72-77°F water with pH 6-7.5","Needs 30+ gallon tank. School of 8+","A large, active rasbora reaching 6 inches with silver body and deeply forked tail with black and white markings that ...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FscissortailRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #scissortailrasbora #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
lambchopRasbora,"Lambchop Rasbora","Trigonostigma espei","Thrives in 72-79°F water with pH 5-7","Needs 10+ gallon tank. School of 8+","A small rasbora reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FlambchopRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #lambchoprasbora #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
brilliantRasbora,"Brilliant Rasbora","Rasbora einthovenii","Thrives in 72-77°F water with pH 6-7","Needs 20+ gallon tank. School of 6+","A small, colorful rasbora reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbrilliantRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #brilliantrasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
phoenixRasbora,"Phoenix Rasbora","Boraras merah","Thrives in 72-82°F water with pH 5-7","Needs 5+ gallon tank. School of 10+","A tiny, brilliant nano fish reaching only 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FphoenixRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #phoenixrasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
strawberryRasbora,"Strawberry Rasbora","Boraras naevus","Thrives in 76-82°F water with pH 5-7","Needs 5+ gallon tank. School of 10+","A tiny nano fish reaching only 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FstrawberryRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #strawberryrasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
emeraldDwarfRasbora,"Emerald Dwarf Rasbora","Danio erythromicron","Thrives in 68-75°F water with pH 7-7.8","Needs 10+ gallon tank. School of 6+","A tiny nano fish reaching 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FemeraldDwarfRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #emeralddwarfrasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
goldWhiteCloud,"Gold White Cloud","Tanichthys albonubes (Gold Morph)","Thrives in 64-72°F water with pH 6-8","Needs 10+ gallon tank. School of 6+","A color variant of white cloud mountain minnow reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FgoldWhiteCloud.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #goldwhitecloud #peacefulfish #schoolingfish #asianfish",Very Easy,Peaceful
sailfinMolly,"Sailfin Molly","Poecilia velifera","Thrives in 72-82°F water with pH 7-8.5","Needs 30+ gallon tank. Group of 3+","A larger molly variety with males displaying impressive sail-like dorsal fins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsailfinMolly.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #sailfinmolly #peacefulfish",Moderate,Peaceful
dalmatianMolly,"Dalmatian Molly","Poecilia sphenops (Dalmatian)","Thrives in 70-82°F water with pH 7-8.5","Needs 30+ gallon tank. Group of 3+","A color variant of common molly reaching 3-4 inches with white body covered in black spots resembling a dalmatian dog",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdalmatianMolly.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #dalmatianmolly #peacefulfish #beginnerfish",Easy,Peaceful
mosquitofish,"Mosquitofish","Gambusia affinis","Thrives in 50-90°F water with pH 6-8","Needs 20+ gallon tank. Group of 3+","A small, dull-gray livebearer reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fmosquitofish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #mosquitofish",Very Easy,Semi-aggressive
apistogrammaAgassizii,"Apistogramma Agassizii","Apistogramma agassizii","Thrives in 72-82°F water with pH 5-7","Needs 20+ gallon tank. Pair or harem (1M:3F)","A small, colorful dwarf cichlid reaching 2-3 inches with males displaying vibrant yellows and a distinctive horizonta...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FapistogrammaAgassizii.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #apistogrammaagassizi #southamericanfish",Moderate,Semi-aggressive
blueAcara,"Blue Acara","Andinoacara pulcher","Thrives in 72-82°F water with pH 6.5-8","Needs 30+ gallon tank. Pair or single","A peaceful medium cichlid reaching 6 inches with powder-blue body, orange highlights, and less intense coloration tha...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblueAcara.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blueacara #beginnerfish",Easy,Semi-aggressive
severum,"Severum","Heros severus","Thrives in 72-84°F water with pH 6-7.5","Needs 55+ gallon tank. Pair or single","A large, peaceful cichlid reaching 8-10 inches with various color forms including green, gold, and red varieties",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fseverum.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #severum #southamericanfish",Moderate,Semi-aggressive
